image_name,fold-1,fold-2,fold-3,fold-4,fold-5
22q11DSSlide2.png,train,val,train,train,train
22q11DSSlide3.png,train,train,val,train,train
22q11DSSlide4.png,train,train,train,val,train
22q11DSSlide5.png,train,train,train,val,train
22q11DSSlide6.png,val,train,train,train,train
22q11DSSlide7.png,train,train,train,train,val
22q11DSSlide8.png,train,val,train,train,train
22q11DSSlide9.png,train,train,train,train,val
22q11DSSlide10.png,train,train,train,val,train
22q11DSSlide11.png,train,train,val,train,train
22q11DSSlide12.png,val,train,train,train,train
22q11DSSlide13.png,train,val,train,train,train
22q11DSSlide14.png,train,train,val,train,train
22q11DSSlide15.png,train,train,train,val,train
22q11DSSlide16.png,train,train,train,val,train
22q11DSSlide17.png,train,train,train,train,val
22q11DSSlide21.png,train,train,train,train,val
22q11DSSlide22.png,train,train,train,val,train
22q11DSSlide23.png,train,train,train,val,train
22q11DSSlide24.png,val,train,train,train,train
22q11DSSlide25.png,train,val,train,train,train
22q11DSSlide26.png,train,train,val,train,train
22q11DSSlide27.png,val,train,train,train,train
22q11DSSlide28.png,train,val,train,train,train
22q11DSSlide29.png,train,train,train,train,val
22q11DSSlide30.png,val,train,train,train,train
22q11DSSlide31.png,train,train,val,train,train
22q11DSSlide32.png,train,train,train,val,train
22q11DSSlide33.png,train,train,train,train,val
22q11DSSlide34.png,train,val,train,train,train
22q11DSSlide35.png,train,train,val,train,train
22q11DSSlide36.png,train,train,train,val,train
22q11DSSlide37.png,train,train,train,train,val
22q11DSSlide38.png,train,val,train,train,train
22q11DSSlide39.png,train,val,train,train,train
22q11DSSlide40.png,val,train,train,train,train
22q11DSSlide41.png,train,train,val,train,train
22q11DSSlide42.png,train,train,train,val,train
22q11DSSlide43.png,train,train,train,train,val
22q11DSSlide44.png,val,train,train,train,train
22q11DSSlide45.png,train,train,train,val,train
22q11DSSlide46.png,train,train,val,train,train
22q11DSSlide47.png,train,train,train,train,val
22q11DSSlide48.png,val,train,train,train,train
22q11DSSlide49.png,train,val,train,train,train
22q11DSSlide50.png,train,train,val,train,train
22q11DSSlide51.png,train,train,train,train,val
22q11DSSlide52.png,train,train,train,val,train
22q11DSSlide53.png,val,train,train,train,train
22q11DSSlide54.png,train,val,train,train,train
22q11DSSlide55.png,train,train,val,train,train
22q11DSSlide56.png,train,train,train,val,train
22q11DSSlide57.png,train,train,train,train,val
22q11DSSlide58.png,train,train,val,train,train
22q11DSSlide59.png,val,train,train,train,train
22q11DSSlide60.png,train,train,train,val,train
22q11DSSlide61.png,train,val,train,train,train
22q11DSSlide62.png,train,train,train,train,val
22q11DSSlide63.png,val,train,train,train,train
22q11DSSlide64.png,train,train,train,train,val
22q11DSSlide65.png,train,val,train,train,train
22q11DSSlide66.png,train,train,train,train,val
22q11DSSlide67.png,val,train,train,train,train
22q11DSSlide68.png,train,train,val,train,train
22q11DSSlide69.png,train,train,train,val,train
22q11DSSlide70.png,train,train,val,train,train
22q11DSSlide71.png,train,val,train,train,train
22q11DSSlide72.png,train,train,train,val,train
22q11DSSlide73.png,train,train,train,train,val
22q11DSSlide74.png,val,train,train,train,train
22q11DSSlide75.png,train,val,train,train,train
22q11DSSlide76.png,val,train,train,train,train
22q11DSSlide77.png,train,train,val,train,train
22q11DSSlide78.png,train,train,val,train,train
22q11DSSlide79.png,train,train,train,val,train
22q11DSSlide80.png,train,train,train,train,val
22q11DSSlide81.png,train,val,train,train,train
22q11DSSlide82.png,train,train,val,train,train
22q11DSSlide84.png,train,train,train,val,train
22q11DSSlide85.png,val,train,train,train,train
22q11DSSlide86.png,val,train,train,train,train
22q11DSSlide87.png,train,train,train,train,val
22q11DSSlide88.png,train,val,train,train,train
22q11DSSlide89.png,train,train,train,val,train
22q11DSSlide90.png,val,train,train,train,train
22q11DSSlide91.png,val,train,train,train,train
22q11DSSlide92.png,train,train,val,train,train
22q11DSSlide93.png,train,val,train,train,train
22q11DSSlide94.png,train,train,train,val,train
22q11DSSlide95.png,train,val,train,train,train
22q11DSSlide96.png,train,train,train,val,train
22q11DSSlide97.png,train,train,train,val,train
22q11DSSlide98.png,train,train,train,train,val
22q11DSSlide99.png,train,train,val,train,train
22q11DSSlide100.png,val,train,train,train,train
22q11DSSlide101.png,val,train,train,train,train
22q11DSSlide102.png,train,train,train,train,val
22q11DSSlide103.png,train,train,val,train,train
22q11DSSlide104.png,train,train,train,val,train
22q11DSSlide105.png,train,train,train,train,val
22q11DSSlide106.png,val,train,train,train,train
22q11DSSlide107.png,train,val,train,train,train
22q11DSSlide108.png,train,train,train,val,train
22q11DSSlide109.png,train,train,val,train,train
22q11DSSlide110.png,val,train,train,train,train
22q11DSSlide111.png,train,train,train,train,val
22q11DSSlide112.png,train,val,train,train,train
22q11DSSlide113.png,train,val,train,train,train
22q11DSSlide114.png,train,train,val,train,train
22q11DSSlide115.png,train,train,val,train,train
22q11DSSlide116.png,train,train,train,val,train
22q11DSSlide117.png,train,train,train,train,val
22q11DSSlide118.png,train,train,train,val,train
22q11DSSlide119.png,train,train,train,train,val
22q11DSSlide120.png,val,train,train,train,train
22q11DSSlide121.png,train,train,val,train,train
22q11DSSlide122.png,val,train,train,train,train
22q11DSSlide123.png,train,val,train,train,train
22q11DSSlide124.png,train,train,train,val,train
22q11DSSlide125.png,train,train,val,train,train
22q11DSSlide126.png,train,train,train,train,val
22q11DSSlide127.png,train,val,train,train,train
22q11DSSlide128.png,train,train,train,val,train
22q11DSSlide129.png,train,train,train,train,val
22q11DSSlide130.png,val,train,train,train,train
22q11DSSlide131.png,train,train,val,train,train
22q11DSSlide132.png,train,train,val,train,train
22q11DSSlide133.png,val,train,train,train,train
22q11DSSlide134.png,train,train,train,val,train
22q11DSSlide135.png,train,val,train,train,train
22q11DSSlide136.png,train,train,train,train,val
22q11DSSlide137.png,train,train,train,val,train
22q11DSSlide138.png,val,train,train,train,train
22q11DSSlide139.png,val,train,train,train,train
22q11DSSlide140.png,train,val,train,train,train
22q11DSSlide141.png,train,train,val,train,train
22q11DSSlide142.png,train,val,train,train,train
22q11DSSlide143.png,train,train,train,train,val
22q11DSSlide144.png,val,train,train,train,train
22q11DSSlide145.png,train,train,train,val,train
22q11DSSlide146.png,train,train,val,train,train
22q11DSSlide147.png,train,train,train,train,val
22q11DSSlide148.png,train,train,train,val,train
22q11DSSlide151.png,train,val,train,train,train
22q11DSSlide152.png,train,train,val,train,train
22q11DSSlide153.png,train,train,train,train,val
22q11DSSlide154.png,val,train,train,train,train
22q11DSSlide155.png,train,val,train,train,train
22q11DSSlide156.png,train,train,val,train,train
22q11DSSlide157.png,train,train,train,val,train
22q11DSSlide158.png,train,train,train,train,val
22q11DSSlide159.png,val,train,train,train,train
22q11DSSlide160.png,train,train,train,val,train
22q11DSSlide161.png,train,val,train,train,train
22q11DSSlide162.png,train,train,val,train,train
22q11DSSlide163.png,train,val,train,train,train
22q11DSSlide164.png,train,train,train,train,val
22q11DSSlide166.png,val,train,train,train,train
22q11DSSlide167.png,train,val,train,train,train
22q11DSSlide168.png,train,train,val,train,train
22q11DSSlide169.png,train,train,train,val,train
22q11DSSlide170.png,train,train,val,train,train
22q11DSSlide171.png,val,train,train,train,train
22q11DSSlide172.png,val,train,train,train,train
22q11DSSlide173.png,train,train,train,train,val
22q11DSSlide174.png,train,train,train,val,train
22q11DSSlide175.png,train,val,train,train,train
22q11DSSlide176.png,train,train,train,train,val
22q11DSSlide177.png,train,train,train,train,val
22q11DSSlide178.png,val,train,train,train,train
22q11DSSlide179.png,train,train,val,train,train
22q11DSSlide180.png,train,val,train,train,train
22q11DSSlide181.png,train,train,train,val,train
22q11DSSlide182.png,val,train,train,train,train
22q11DSSlide183.png,train,train,val,train,train
22q11DSSlide184.png,train,val,train,train,train
22q11DSSlide186.png,train,train,train,val,train
22q11DSSlide187.png,val,train,train,train,train
22q11DSSlide188.png,val,train,train,train,train
22q11DSSlide189.png,train,train,val,train,train
22q11DSSlide190.png,train,train,train,train,val
22q11DSSlide191.png,train,val,train,train,train
22q11DSSlide192.png,train,train,train,train,val
22q11DSSlide193.png,train,train,train,val,train
22q11DSSlide194.png,val,train,train,train,train
22q11DSSlide195.png,train,train,train,val,train
22q11DSSlide196.png,train,val,train,train,train
22q11DSSlide197.png,train,train,val,train,train
22q11DSSlide198.png,train,train,train,train,val
22q11DSSlide199.png,train,train,train,train,val
22q11DSSlide200.png,val,train,train,train,train
22q11DSSlide201.png,train,val,train,train,train
22q11DSSlide202.png,train,train,train,val,train
22q11DSSlide203.png,train,val,train,train,train
22q11DSSlide204.png,val,train,train,train,train
22q11DSSlide205.png,train,train,train,train,val
22q11DSSlide206.png,train,train,train,val,train
22q11DSSlide207.png,train,train,val,train,train
22q11DSSlide208.png,train,train,val,train,train
22q11DSSlide211.png,train,train,train,val,train
22q11DSSlide212.png,train,train,val,train,train
22q11DSSlide213.png,train,train,train,train,val
22q11DSSlide215.png,val,train,train,train,train
22q11DSSlide216.png,val,train,train,train,train
22q11DSSlide217.png,train,val,train,train,train
22q11DSSlide218.png,train,train,train,val,train
22q11DSSlide219.png,val,train,train,train,train
22q11DSSlide220.png,train,val,train,train,train
22q11DSSlide221.png,train,train,val,train,train
22q11DSSlide222.png,train,train,train,val,train
22q11DSSlide223.png,train,train,train,train,val
22q11DSSlide224.png,train,train,val,train,train
22q11DSSlide227.png,val,train,train,train,train
22q11DSSlide228.png,train,train,train,train,val
22q11DSSlide229.png,train,train,train,val,train
22q11DSSlide230.png,train,val,train,train,train
22q11DSSlide231.png,val,train,train,train,train
22q11DSSlide232.png,train,val,train,train,train
22q11DSSlide233.png,train,train,train,train,val
22q11DSSlide234.png,train,train,train,val,train
22q11DSSlide236.png,val,train,train,train,train
22q11DSSlide237.png,train,train,val,train,train
22q11DSSlide238.png,train,train,train,train,val
22q11DSSlide239.png,train,train,train,train,val
22q11DSSlide240.png,train,val,train,train,train
22q11DSSlide241.png,train,train,train,train,val
22q11DSSlide242.png,train,train,val,train,train
22q11DSSlide243.png,train,train,train,val,train
22q11DSSlide244.png,train,train,val,train,train
22q11DSSlide245.png,val,train,train,train,train
22q11DSSlide246.png,train,val,train,train,train
22q11DSSlide247.png,train,train,train,val,train
22q11DSSlide248.png,train,train,train,train,val
22q11DSSlide249.png,val,train,train,train,train
22q11DSSlide250.png,train,val,train,train,train
22q11DSSlide251.png,train,train,val,train,train
22q11DSSlide252.png,train,train,train,val,train
22q11DSSlide253.png,train,train,train,train,val
22q11DSSlide254.png,val,train,train,train,train
22q11DSSlide255.png,train,val,train,train,train
22q11DSSlide258.png,train,train,val,train,train
22q11DSSlide259.png,train,val,train,train,train
22q11DSSlide260.png,train,train,train,train,val
22q11DSSlide261.png,val,train,train,train,train
22q11DSSlide262.png,train,train,train,val,train
22q11DSSlide263.png,train,train,train,train,val
22q11DSSlide264.png,train,train,train,train,val
22q11DSSlide265.png,val,train,train,train,train
22q11DSSlide266.png,train,train,val,train,train
22q11DSSlide267.png,train,val,train,train,train
22q11DSSlide268.png,val,train,train,train,train
22q11DSSlide269.png,train,train,train,val,train
22q11DSSlide270.png,train,val,train,train,train
22q11DSSlide271.png,val,train,train,train,train
22q11DSSlide272.png,train,train,val,train,train
22q11DSSlide273.png,train,train,train,val,train
22q11DSSlide275.png,train,val,train,train,train
22q11DSSlide276.png,val,train,train,train,train
22q11DSSlide278.png,train,train,train,train,val
22q11DSSlide279.png,val,train,train,train,train
22q11DSSlide280.png,train,train,val,train,train
22q11DSSlide281.png,train,train,train,train,val
22q11DSSlide282.png,train,train,train,val,train
22q11DSSlide283.png,train,train,train,val,train
22q11DSSlide284.png,train,val,train,train,train
22q11DSSlide285.png,train,train,val,train,train
22q11DSSlide286.png,train,train,val,train,train
22q11DSSlide287.png,val,train,train,train,train
22q11DSSlide288.png,train,val,train,train,train
22q11DSSlide289.png,train,train,train,val,train
22q11DSSlide290.png,train,train,train,train,val
22q11DSSlide291.png,val,train,train,train,train
22q11DSSlide292.png,train,train,train,train,val
22q11DSSlide293.png,train,val,train,train,train
22q11DSSlide294.png,train,train,train,train,val
22q11DSSlide295.png,train,val,train,train,train
22q11DSSlide296.png,train,train,val,train,train
22q11DSSlide297.png,train,train,train,val,train
22q11DSSlide298.png,val,train,train,train,train
22q11DSSlide299.png,train,train,val,train,train
22q11DSSlide300.png,train,train,train,val,train
22q11DSSlide301.png,train,val,train,train,train
22q11DSSlide302.png,train,train,train,train,val
22q11DSSlide303.png,val,train,train,train,train
22q11DSSlide304.png,train,train,val,train,train
22q11DSSlide305.png,train,train,train,val,train
22q11DSSlide306.png,val,train,train,train,train
22q11DSSlide308.png,train,train,train,val,train
22q11DSSlide309.png,val,train,train,train,train
22q11DSSlide310.png,train,train,train,train,val
22q11DSSlide311.png,train,val,train,train,train
22q11DSSlide312.png,train,train,val,train,train
22q11DSSlide313.png,train,train,train,train,val
22q11DSSlide315.png,train,val,train,train,train
22q11DSSlide316.png,train,train,train,train,val
22q11DSSlide317.png,val,train,train,train,train
22q11DSSlide319.png,train,train,val,train,train
22q11DSSlide320.png,train,train,train,val,train
22q11DSSlide321.png,train,train,val,train,train
22q11DSSlide322.png,train,val,train,train,train
22q11DSSlide323.png,train,train,val,train,train
22q11DSSlide324.png,val,train,train,train,train
22q11DSSlide325.png,train,train,train,val,train
22q11DSSlide326.png,train,train,train,train,val
22q11DSSlide327.png,train,train,train,val,train
22q11DSSlide328.png,train,val,train,train,train
22q11DSSlide329.png,train,val,train,train,train
22q11DSSlide330.png,train,val,train,train,train
22q11DSSlide331.png,train,train,train,val,train
